Judul,Content,Category
Buka Puasa dan Berbagi Bersama Anak Yatim Menutup Kegiatan Dai Muda Berkhitmad 1444 H,"SIDOARJO (Radarjatim.id) – Perjalanan atau Road Show Dai Muda Berkhidmat yang dilakukan oleh para santri Dafi (Darul Fikri) Pesantren Al Quran Science Sidoarjo, yang dimulai pada 17 Maret 2023 telah berakhir di Masjid Abu Bakar Ash Shidiq Desa Turi Lamongan, pada Minggu 9 April 2023. Sebelumnya, selain Sidoarjo sendiri para santri Dafi jenjang MA ini juga disebar untuk berdakwah dibeberapa kabupaten lain, seperti Malang, Mojokerto, Bojonegoro dan Lamongan. Dalam prosesi penutupan tersebut, para santri Dafi Pesantren Al Quran Science Sidoarjo yang bertugas di Masjid Abu Bakar Ash Shidiq mendapatkan support dari Dompet Al Quran Indonesia mengadakan buka puasa bersama juga memberikan santunan kepada anak-anak yatim warga setempat. Ustadzah Hikmah selaku pendamping dari warga setempat, mengaku sangat senang dan berterima kasih terhadap para santri-santri Dafi, karena mereka telah membantu untuk memakmurkan masjid. Mulai dari mengajar anak-anak di TPQ, juga membatu mempersiapkan takjil-takjil jelang berbuka puasa. “Termasuk juga mengisi Kultum juga menjadi imam shalat tarowih hingga menjadi khatib shalat Jum’at. Saya sangat apresiasi terhadap para santri-santri Dafi, khususnya di jenjang  MA ini,” ungkap Ustadzah Hikmah.(mad)",Pendidikan
Laznas BMH Gerai Sidoarjo Gelar Kajian Ramadhan dan Penyaluran Bingkisan Sembako Berkah,"SIDOARJO (RadarJatim.id) Lembaga Amil Zakat Nasional (Laznas) Baitul Maal Hidayatullah (BMH) Gerai Sidoarjo menggelar kajian ramadhan sekaligus penyaluran bingkisan sembako berkah untuk mitra mitra Da’i BMH. Dalam kegiatan tersebut menghadirkan narasumber bapak Sutrisno dari Kodim 0816 dan Gus Sholah,Lc dari Aswaja Center dan di hadiri Donatur BMH Sidoarjo Bapak H. Sarjono serta para amil BMH. “Alhamdulillah , di 10 hari pertengahan ramadhan Laznas BMH Gerai Sidoarjo menggelar kajian ramadhan sekaligus menyalurkan bingkisan sembako berkah untuk mitra mitra Da’i BMH,” kata Manager Operasional Lembaga Amil Zakat Nasional (Laznas) Baitul Mall Hidayatullah (BMH) Gerai Sidoarjo, S. Abd Karim, S.E.I. Bapak Sutrisno selaku perwakilan dari Kodim 0816 menyampaikan wawasan kebangsaan kepada para mitra Da’i serta Amil BMH Sidoarjo. Disampaikan bahwa , seyogyanya ummat muslim dan para Da’i harus punya jiwa dan wawasan kebangsaan. “Hal itu sebagai bentuk kita cinta kepada NKRI dan rasa syukur kepada Allah SWT atas rahmat dan karunia nya terhadap kemerdekaan bangsa Indonesia,” kata Bapak Sutrisno. Sementara itu, Gus Sholah,Lc menyampaikan terkait ramadhan untuk senantiasa semangat ibadah nya di detik detik terakhir ramadhan. “Sebagimana Rasulullah SAW di akhir ramadhan sibuk untuk mendekatkan diri kepada Allah SWT, seraya bagaikan angin yang menghembus kencang saking sibuk beribadahnya,” ujar Gus Sholah. Untuk saat ini Laznas BMH masih menerima amanah donasi dari para donatur, dermawan serta muhsinin dibulan ramadhan ini. Laznas BMH Gerai sidoarjo juga membuka peluang amal jariyah dibulan Ramadhan 1444H, dengan program program keummatan yang terdiri dari sedekah sumur bor 250rb, sedekah peralatan ibadah untuk dhuafa 250rb/paket. Serta sedekah qur’an braile 250/paket, takjil untuk santri 15rb, kado lebaran da’i guru ngaji 350rb, kado lebaran santri dan dhuafa 250rb serta buka puasa santri tahfidz 30rb, Fitrah berkah 35rb/jiwa sedekah semen untuk musholla pedalaman 250rb, dan masih banyak lagi. Zakat ,Infaq , Sedekah bisa ditunaikan melalui rekening BSI : 704 29 552 93 atau Mandiri : 1410007554579 a/n. Baitul Maal Hidayatullah. Atau bisa menghubungi bagian program WA +62 812-3246-7711. (RED)",Religi
Nurul Fikri Manfaatkan Keberkahan Dengan Mengajak Masyarakat Bergerak Membaca Al Quran,"SIDOARJO (Radarjatim.id) – Momen Ramadan 1444 H betul-betul dimanfaatkan oleh Nurul Fikri Islamic Education Center yang mengelola lembaga pendidikan TK, SD dan SMP  mengajak masyarakat untuk terus menerus bergerak tidak henti-hentinya membaca Al Quran. Tentu saja dengan mengharap keberkahan dan manfaat dari membaca Al Quran. Nurul Fikri yang dibawah naungan Yayasan Ponpes Ath-Thoyyibah Sidoarjo ini, minimal telah memulai ajakan tersebut dengan menggerakan seluruh keluarga besarnya. Seluruh siswa TK, SD dan SMP bersama keluarganya, ustad dan ustadzah untuk membaca Al Quran bersama-sama. “Jadi satu keluarga minimal bisa khatam satu juz. Bahkan ada yang bisa khatam dua atau tiga juz. Karena memang waktunya jelang berbuka puasa, membacanya juga dibagi,” tutur Direktur Eksekutif Nurul Fikri Muamal Jasin, M.Pd ditemui jelang berbuka bersama, pada Jumat (7/4/2023) sore. Menariknya, lanjut Muamal Jasin. Tantanganya mereka dalam satu keluarga itu harus bisa menyelesaikan 1 juz, yaitu dibagi bapak, ibu dan anaknya. Ternyata juga yang bisa menyelesaikan 2 juz. Sehingga setelah kita kalkulasi dalam waktu sekitar satu jam bisa khatam empat kali. Kegiatan yang bertemakan ‘Buka Puasa Bersama Keluarga Nufi Sidoarjo’ juga  memfasilitasi, menyemangati seluruh peserta dengan program ‘Moving Forward with Alquran’ dengan Pemateri Ahmad Faiz Khudlari Thoha, MM yang mengajak peserta untuk ‘Melejitkan Al Quran Dalam Kehidupan’. Ia mencontohkan masyarakat sekarang kalau mau pergi dan mencari alamatnya melalui google map. Setelah dibuka, dicari dan diikuti agar bisa sampai tempat yang dituju. Oleh karena itu dalam kehidupan sehari-hari masyarakat juga harus berpegang teguh terhadap Al Quran. “Jangan sekedar membaca, mestinya juga harus dibaca dipahami dan diamalkan,” jelas ustad Faiz_sapaan akrabnya. Muamal Jasin berharap dari semua kegiatan tersebut, tentunya adalah mengharap keberkahan. Keberkahan dari membaca Al Quran itu pasti ada. Ternyata, setelah anak-anak sudah bisa menghafal Al Quran itu membawa dampak kemudahan dalam belajar/pembelajaran di kelas. “Prestasi mereka juga ternyata bagus. Itulah dampak yang kami rasakan dalam menghafal Al Quran,” ungkapnya. Ketua Panitia Sri Mulyani juga mengatakan, kalau kegiatan itu bertujuan untuk menjalin kekeluargaan. Tidak hanya di dunia, namun juga di akhirat. Caranya dengan mengajak membaca Alquran bersama. “Nah kami ajarkan ke anak-anak juga bahwa muaranya ke akhirat semua,”  terangya. Ia berharap, agar semunya bisa bersama-sama berjuang untuk generasi yang lebih baik. “Karakter yang muncul pun sesuai dengan potensi siswa. Sesuai dengan visi sekolah yakni untuk menjadi generasi calon pemimpin yang berkarakter dan intelektual,” harap Sri Mulyani.(mad)",Pendidikan
SMP Muhammadiyah 2 Taman Berbagi Sesama Anak Panti Aisyiyah Balongbendo,"SIDOARJO (Radarjatim.id) – Bertepatan dengan Bulan Suci Ramadan 1444 H sekarang ini telah dimanfaatkan oleh  para  siswa kelas 8 SMP Muhammadiyah 2 Taman-Sidoarjo (Spemduta), menjalin silaturahmi  dan berbagi sesama dengan anak-anak Panti Asuhan Aisyiyah Balongbendo, Sidoarjo. Kegiatan yang bertemakan ‘Kita Membagi, Allah Mengkali’ tersebut, dilakukan oleh para siswa kelas 8 untuk menyantuni anak yatim, pada (6/4/2023) siang. Acara dibuka dengan pembacaan surat Ad-Dhuha dan Al-Ma’un yang dipimpin oleh Ustadz Akhmad Rijal Tawakal, S.Pd.I, dilanjutkan dengan sambutan dari Emil Mukhtar Efendi, S.Kom, Wakil Kepala Sekolah Bidang Humas. Ia  menyampaikan rasa terimaksih kepada tuan rumah, dalah hal ini Panti Asuhan Aisyiyah Balongbendo, dan sedikit membahas mengenai surat Al-Maun yang sebelumnya telah dibacakan bersama-sama saat pembukaan. “Sebelumnya saya ucapkan terimakasih kepada seluruh pengurus dan anak-anak  Panti Asuhan Aisyiyah Balongbendo mau menerima kami. Kehadiran kami kesini ingin bersilaturahmi dan mengamalkan perintah Allah SWT,” sampainya. Kepala Panti Asuhan Aisyiyah Balongbendo Sunarsih berpesan kepada siswa Spemduta untuk tidak hanya membaca, namun juga mengamalkan surat Al Ma’un. “Alhamdulillah siswa Spemduta sudah belajar tentang konsep Al Ma’un, mudah-mudahan bisa diteruskan dengan mengamalkannya,” pesannya Kamu tidak akan memperoleh kebajikan, sebelum kamu menginfakkan sebagian harta yang kamu cintai. Dan apa pun yang kamu infaq kan, tentang hal itu sungguh, Allah Maha Mengetahui (Qs Ali Imron : 92). “Dari kutipan ayat Ali Imron juga menganjurkan kita semua untuk berbagi yang terbaik, yang kalian miliki. Maka Insya Allah Allah juga akan memberikan yang terbaik untuk kita semua,” imbuhnya. Sementara itu, antusiasme siswa Spemduta terlihat ketika pembagian bingkisan, selain bingkisan yang sudah dipersiapkan oleh pihak sekolah, beberapa siswa juga menyiapkan bingkisan yang sudah dibawa dari rumah. Ada pula yang terlihat patungan sesaat setelah mendengar materi dari ustadzah Sunarsih.(mad)",Pendidikan
PWI-Baznas Kolaborasi Gelar Penguatan Literasi Zakat,"SIDOARJO (Radarjatim.id) –Persatuan Wartawan Indonesia (PWI) Kabupaten Sidoarjo menggelar Dialog Ramadhan yang berkolaborasi dengan Badan Amil Zakat Nasional (Baznas) Sidoarjo dan didukung oleh Favehotel Sidoarjo. Dialog Ramadhan bertema “Penguatan Literasi Zakat untuk Kesejahteraan Umat” ini digelar di Favehotel Sidoarjo, Kamis (6/4/2023. Dialog ini diikuti oleh anggota PWI Sidoarjo dan sejumlah undangan. Ketua PWI Sidoarjo, Mustain mengatakan, kegiatan ini bertujuan untuk meningkatkan pengetahuan dan pemahaman tentang Zakat, Infaq dan Sedekah (ZIS). Sehingga diharapkan bisa menjadi bekal anggota PWI Sidoarjo saat menulis mengenai ZIS. “Dan harapannya melalui tulisan tersebut bisa menjadi gerakan literasi yang baik sehingga bisa meningkatkan kesadaran mengenai Zakat, Infaq dan Sedekah,” harapnya. Ia menyebut, Dialog Ramadhan mengupas soal literasi zakat ini merupakan rangkaian acara bertajuk “PWI Sidoarjo Berbagi Berkah Ramadhan” yang digelar dalam bulan Ramadhan 1444 Hijriah ini.Di acara ini hadir dua narasumber dari Baznas Sidoarjo, yakni Wakil Ketua I Baznas Sidoarjo Luqman Hakim dan Wakil Ketua II Baznas Sidoarjo, M Mahbub. Menurut Luqman Hakim, sinergi Baznas dengan PWI Sidoarjo ini merupakan kegiatan yang luar biasa.Ia menyebut acara semacam ini menjadi sebuah sinergi yang strategis. Sebab sampai saat ini pengumpulan zakat belum optimal. Dimana potensi zakat secara nasional sebesar Rp 400 Triliun, namun tahun ini targetnya masih dipatok Rp 33 Triliun. “Maka dengan kita berliterasi memberikan edukasi, pemahaman dan informasi dan bisa diserap dengan baik, ditambah jejaring yang semakin luas, maka para jurnalis menjadi garda depan untuk mengawal gerakan zakat nasional. Sehingga zakat tidak hanya populer saat Ramadhan,” tandas Luqman Hakim. Ia menambahkan literasi zakat sangat penting. Sebab masyarakat secara umum membutuhkan pencerahan yang benar terkait penyaluran zakat, infaq dan sedekah kepada lembaga yang terpercaya. “Samakin banyak masyarakat yang menyalurkan zakat, infaq dan sedekah maka otomatis akan membantu orang-orang yang membutuhkan,” Luqman Hakim. Dalam kesempatan ini, Luqman Hakim juga memaparkan program-program unggulan Baznas Sidoarjo yang bertujuan untuk mensejahterakan umat. Yakni Sidoarjo Taqwa diantaranya berupa pengiriman khatib salat Jumat ke daerah terpencil, Sidoarjo Peduli diantaranya berupa bedah rumah. Sidoarjo Cerdas diantaranya pelunasan biaya pendidikan (SPP), Sidoarjo Makmur berupa bantuan usaha dhuafa mandiri dan Sidoarjo Sehat diantaranya berobat dhuafa, kursi roda hingga khitanan massal. Luqman juga menjelaskan soaltarget pengumpulan zakat, infaq dan sedekah oleh Baznas Sidoarjo pada tahun 2023 sebesar Rp 12,6 Miliar.  “Dari dana tersebut akan kembali disalurkan kepada masyarakat yang membutuhkan,” pungkas Luqman Hakim. Sementara itu, M Mahbub menambahkan, Baznas Sidoarjo juga berperan untuk mensupport geliat pembangunan di Kota Delta dari sisi lain. Dan peran tersebut tentunya membutuhkan dukungan media agar mendapatkan kepercayaan dari masyarakat. “Jenengan yang bisa mensupport ini. Memberikan informasi kepada masyarakat bahwa Baznas telah melakukan ini dan itu untuk memberikan manfaat kepada masyarakat. Sehingga kita mendapatkan trust (kepercayaan) dari masyarakat,” pungkas Mahbub.(mad)",Religi
"DAFI Berbagi, Wujud Ungkapan Rasa Syukur dan Menguatkan Silaturrahmi","SIDOARJO (RadarJatim.id) Dalam kegiatan DAFI Berbagi berupa pembagian sembako dengan tema “Semangat berbagi, Menjadikan Ramadan lebih mulia”. Kegiatan tersebut, bertempat di halaman sekolah SMP DAFI, Sarirogo, Sidoarjo, kamis (6/4/2023). Ketua pelaksana DAFI Berbagi Ustadzah Eli Rahmawati,S.Pd.l mengatakan, hari ini kita mengadakan bakti sosial yaitu pembagian sembako. “Kegiatan ini rutin setiap tahun di adakan DAFI Sidoarjo yang tidak menyurutkan semangat kami untuk berbagi dan Alhamdulilah berjalan dengan lancar,” ucapnya. Dia menjelaskan, tujuanyna adalah merekatkan persaudaraan dengan memberikan bingkisan kepada mereka sebagai tanda kepedulian dari DAFI. Ustadah Eli Rahmawati mengatakan, bahwa pembagian sembako ini kita bagikan ke warga sekitar pesantren Sarirogo. Sasarannya yaitu para janda, dhuafa, perangkat desa dan imam masjid setempat yang berisi minyak, gula, dan kue untuk lebaran. Kepala SMP DAFI Ustadz Basuki Rakhmad, M.Pd menjelaskan, adapun tujuan kegiatan baksos ini untuk membantu masyarakat yang membutuhkan “Sekaligus mencari keberkahan di bulan ramadhan dengan lebih dekat kepada warga sekitar,” ungkap Basuki. Basuki Rakhmad menyampaikan, kami sangat senang sekali diselenggarakannya kegiatan seperti ini. Ke depan kegiatan serupa akan kita laksanakan lebih baik lagi, tak lupa mengucapkan terima kasih atas kerja samanya dari wali santri, dewan guru dan anak – anak yang telah menyerahkan bantuan, baik berupa sembako maupun uang yang di himpun serta di bagikan oleh sekolah. “Semoga kerjasama yang telah dibangun ini, ke depan lebih banyak lagi yang kita bagikan untuk warga yang lebih membutuhkan,” pungkasnya. (MAZ)",Pendidikan
Santri SMP dan MA Dafi Pesantren Al Quran Science Berbagi Takjil,"SIDOARJO (Radarjatim.id) – Ratusan paket takjil telah dibagikan oleh para santri SMP dan MA Dafi (Darul Fikri) Pesantren Al Quran Science Sidoarjo, kepada sesama warga muslim yang telah menjalankan ibadah puasa. Kebetulan saat berbuka mereka masih berada di jalan, sehingga bisa membantu untuk mensegerakan berbuka. Ratusan paket takjil yang berasal dari swadaya para siswa, yakni berasal dari Infaq para santri santri SMP dan MA termasuk juga para Asatidzah tersebut, telah dibagikan pada (4/4/2023) sore di seputaran depan GOR Jalan Pahlawan Sidoarjo. “Alhamdulillah santri-santri Dafi pada kesempatan Ramadan 1444 H ini bisa menyelenggarakan kegiatan berbagi takjil dengan masyarakat umum,” ungkap Ketua Panitia Kegiatan Ramadan 1444 H, Ustadz Didik Suhartono, Lc. usai pembagian takjil. Oleh karena itu, kami berharap semoga menjadikan pelajaran bagi anak-anak bahwasanya Islam itu indah. “Islam itu penuh dengan kasih sayang antar sesama. Islam itu mempunyai kepedulian dengan orang lain, serta dapat menimbulkan jiwa yang dermawan kepada santri DAFI, harap Didik Suhartono. Sementara itu, Penanggung jawab berbagi takjil untuk SMP Ustadz M. Asro Mashabul Yamin, S.Pd menambahkan kalau kegiatan ini juga bertujuan  untuk melatih semangat dan motivasi santri- santri Dafi untuk gemar berinfaq. Sekaligus bisa memaknai bulan suci ramadan ini dengan lebih peduli dan berempati terhadap sesama. “Termasuk juga sebagai sarana sosialisasi yang efektif dalam mendekatkan santri  dengan masyarakat,” tambah ustadz Asro yang didampingi Penanggung Jawab Berbagi Takjil dari MA, Ustadz Ardi Ris Mawan, S.Pd.(mad)",Pendidikan
Tumbuhkan Cinta Al Quran Santri SMP Dafi Lakukan Dakwah Keliling,"SIDOARJO (Radarjatim.id) – Bulan Suci Ramadan 1444 H dimanfaat sebaik-baiknya oleh para  santri SMP Dafi (Darul Fikri) Pesantren Al Quran Science Sidoarjo, yakni dengan melakukan road show, keliling untuk berdakwah di lingkungan masyarakat. Mulai di masjid-masjid, TPQ (Taman Pendidikan Al Quran) dan sekolah-sekolah dasar, untuk mewujudkan Da’i Muda Berkhidmat. Kegiatan yang mengambil tema ‘Bangunlah Jiwa dan Raga Dengan Keberkahan Ramadhan’ tersebut, mulai dilaksanakan mulai tanggal 27-31 Maret 2023 untuk masjid-masjid. Sedangkan yang di sekolah mulai tanggal 27-29 Maret, dan tanggal 10-11 April 2023. Basuki Rakhmad, M.Pd menuturkan kalau kegiatan ini bertujuan untuk mengenalkan Dafi Pesantren Al-Qur’an Science kepada masyarakat, sekaligus belajar bersosialisasi dengan masyarakat di luar lingkungan pondok. “Yang lebih penting lagi, menumbuhkan kecintaan masyarakat pada Al-Qur’an dan melatih para santri berdakwah di lingkungan masyarakat,” tutur Basuki Rakhmad, pada (4/4/2023) pagi. Jadi, hanya keliling sekitar Sidoarjo saja, diantaranya TPQ Masjid Muhajirin, TPQ Ar Rohmah, TPQ Mushollah Al Khoirot, Masjid Baitul Izzah, Masjid Al Aqsha Graha Asri, Masjid Baitul Makmur, Masjid Baitul Muttaqin  Perum Anggaswangi, Masjid Al-Istiqomah Perum Mutiara recidence, Masjid An-Nur Kebun Agung, Masjid Al-Ikhlas Prima Garden, Masjid Al-Ikhlas Graha Mutiara dan Masjid Baiturrozaq Candi. “Termasuk juga di SD Islam Terbuka Sabilul Huda, SD IT Nurul Fikri, SD IT Nurul Hikmah dan SD Alam Al Izzah krian. Semoga apa yang dilakukan oleh para santri bisa bermanfaat bagi yang lain. Bertepatan dengan bulan Ramadan ini kita harus berbuat baik sebanyak-banyaknya,” jelasnya Basuki Rakhmad.(mad)",Pendidikan
Dinar Maharani:                                  Perjuangan Tahfiz 30 Juz Sering Menangis Kini Masuk Unair Jalur SNBP 2023,"SIDOARJO (Radarjatim.id) – Menjadi tahfiz, hafal Al Quran hingga mencapai 30 juz sungguh menjadi kebahagiaan dan kebanggaan yang luar biasa bagi setiap muslim. Bahkan sampai tidak bisa diungkapkan dengan kata-kata (speechless). Karena belajarnya tidak mudah, penuh perjuangan, melelahkan hingga menangis. Itulah ungkapkan Santri Dafi (Darul Fikri) Pesantren Al-Quran Science, Dinar Maharani Putri yang berhasil hafal 30 juz, pada 3 Maret 2022 lalu. Kini berhasil diterima masuk Perguruan Tinggi Negeri (PTN) Universitas Airlangga (Unair) Surabaya Jurusan Ekonomi Islam, melalui jalur SNBP (Seleksi Nasional Berbasis Prestasi) 2023. Santri kelas XII Ilmu Agama B MA Dafi Sidoarjo mengungkapkan, mulai belajar mengaji sejak dari TK. Dilanjut  belajar menghafal surat pendek saat duduk di bangku SD IT Nurul Fikri. “Selanjutnya saya memutuskan masuk pondok pesantren ketika menginjak SMP IT Darul Fikri. Waktu SD sudah bisa menghafal sebanyak 2 juz, dan saat SMP bisa menyelesaikan hingga 10 juz saja,” ungkapnya, pada Senin (3/4/2023) siang. “Beranjak ke jenjang SMA, saya mempunyai rencana dan mentargetkan selesai hingga 30 juz. Dan alhamdulillah atas izin Allah dengan program yang dibuat Darul Fikri, saya dapat mengkhatamkan hafalan 30 juz tanggal 3 Maret 2022 lalu, tepatnya  masih duduk di bangku kelas 11,” jelas santri yang menjadi tahfiz terbaik waktu sekolah dasar. Menurutnya, untuk mencapai fase tersebut tentu tidak mudah, perjuangan menghafal sampai ketiduran, bahkan sampai menangis ketika menemukan ayat yang sulit. Baginya  penghafal Al Quran itu seperti makanan sehari-hari. “Tetapi kembali lagi pada niat awal kami, yaitu ingin mencari ridho Allah dan menjadi bagian Keluarga-Nya kelak di syurga, tentunya juga untuk memuliakan kedua orang tua,” kata putri kelahiran Sidoarjo 1 Oktober 2004. Terus bagaimana cara mengatur waktu Murojaah dan belajarnya ? Saya mempunyai target, bahwa pelajaran sekolah harus selesai ketika di sekolah. Jadi semua tugas diusahakan sudah selesai di kelas. “Nah, untuk Murojaahnya saya sempatkan diwaktu-waktu luang, menunggu adzan dan iqomah,  atau saat istirahat. Yang paling penting harus istiqomah, ditambah lagi jadi hafalan membaca ketika shalat,” ungkapnya lagi. Lanjutnya, terkadang juga ngantuk banget di dalam kelas, jadinya cara mengerjakan tugasnya di Asrama. “Yang paling sulit saat murojaah ? Iyaa sulitt…. bangett. Karena murojaah itu seperti amanah. Maka menjaganya itu begitu sulit, terkadang sampai menangis. Saya yang paling senang adalah saat  murojaah juz 29 dan surat Al Kahfi. Soalnya setiap Jumat otomatis kebaca. Favorite banget, Al Kahfi pertama keutamaannya dihari kiamat, untuk melindungi dari dajjal. Juga Al Mulk juga penting buat terjaga dari siksa kubur,” jelas Dinar Maharani. Dengan prestasi tersebut, untuk melanjutkan ke perguruan tinggi, Dinar Maharani yang sudah masuk eligible mempunyai pilihan pertama jurusan Ekonomi Islam, dan berhasil melalui jalur SNBP. “Saya memilih Ekonomi Islam, karena semua di keluarga orang ekonomi. Jadi saya pengen buka usaha sendiri, juga bermanfaat untuk orang lain,” pungkasnya.(mad)",Pendidikan
Bupati Sidoarjo Berharap Kepada Umat Hindu Jangan Merasa Minoritas,"SIDOARJO (Radarjatim.id) — Bupati Sidoarjo berharap kepada para Umat Hindu agar jangan merasa minoritas. Jangan merasa inferior dan jangan merasa terpinggirkn. Ungkapan dan harapan tersebut disampaikan Bupati Sidoarjo Ahmad Muhdlor acara Dharma Santi memperingati Hari Raya Nyepi 1945 Saka, Minggu (2/4/2023) di Pura Jala Siddhi Amertha, Gedangan Sidoarjo. Selaras dengan temanya, ‘Melalui Dharma Agama dan Dharma Negara Kita Sukseskan Pesta Demokrasi Indonesia’. Bupati Ahmad Muhdlor menyampaikan, pentingnya mencari kesamaan dan titik temu meskipun memiliki perbedaan yang beragam. “Saya ingkatkan agar jangan sampai ada upaya untuk memecah belah masyarakat dengan mencari perbedaan,” tegasnya. Ia menegaskan bahwa berbeda tidak harus saling bertentangan, melainkan harus menjadi komitmen bersama untuk mencapai kesuksesan bersama. “Jangan merasa inferior, minoritas, maupun terpinggirkan. Bupati panjenengan adalah bupati untuk semuanya, “ tegas Ahmad Muhdlor. Terkait Pemilu 2024, saya juga berharap menjadi pesta demokrasi yang seutuhnya. Sebagai wujud nyata dari dharma kepada agama dan negara.  “Acara ini dapat menjadi penyemangat bersama bagi masyarakat dalam menyongsong masa depan yang lebih baik dan harmonis,” harapnya.(mad)",Religi
"PRA Balonggabus-Candi Berburu Berkah Ramadhan, Ini Agendanya","SIDOARJO (RadarJatim.id) — Ibu-ibu Pimpinan Ranting Aisyiyah (PRA) Balonggabus, Kecamatan Candi, Kabupaten Sidoarjo, Jawa Timur, menggelar serangkaian kegiatan selama Ramadhan 1444 H. Kegiatan yang dipusatkan di Balai RW 03 Perumahan Palem Putri, Desa Balonggabus itu  menjadi agenda rutin dalam menyemarakkan bulan Ramadhan. Pada Ramadhan 1444 H ini, ada 4 agenda yang digelar. Keempatnya adalah berbagi makanan mentah, takjil on the road (ToR), bakti sosial berupa santunan sembako untuk warga & uang tunai pada anak yatim, dan kajian Islam. “Sekitar 90% panitia adalah ibu-ibu yang bekerja di luar rumah. Ada yang menjadi guru, bekerja di perkantoran, dan berwirausaha,” ujar Noer Ernandari, AMa.Pd, Ketua Panitia Kegiatan, Minggu (2/4/2023). Meskipun banyak yang berperan di sektor publik, sambung Erna, mereka yang terlibat di kepanitiaan tidak melupakan kebutuhan masyarakat. “Karena kami adalah bagian dari  mereka. Apalagi di bulan penuh berkah ini, kami ingin berbahagia bersama,” tambahnya. Maf’ulah salah satu penerima manfaat dari kegiatan PRA Balonggabus mengaku, sangat bersyukur. Pasalnya, di tengah kondisi sulit, ada pihak yang hadir membantu masyarakat. “Alhamdulillah, kegiatan ini sangat membantu warga. Semoga menjadi berkah untuk yang memberi. Saya berharap kegiatan ini berlanjut di masa-masa mendatang,” ujarnya. Berikut agenda Ramadhan PRA Balonggabus:– Takjil on the road, Sabtu, 1 April 2023;– Berbagi makanan mentah, Minggu, 2 April 2023;– Bakti sosial berupa pembagian sembako dan uang tunai, Sabtu, 15 April 2023;– Kajian Islam, Sabtu, 16 April 2023. (lis)",Religi
Pondok Ramadhan SMA Negeri 3 Sidoarjo Diisi Dengan Penguatan Karakter,"SIDOARJO (Radarjatim.id) – Penguatan karakter bagi remaja atau siswa tidak bisa dilakukan hanya sekali-kali saja, tapi memerlukan perlakuan secara rutin. Bertepatan dengan Bulan Suci Ramadhan 1444 H ini tidak disia-siakan oleh SMA Negeri 3 Sidoarjo untuk lebih memperkuat karakter siswa-siswinya yang sebanyak 1.237 siswa itu agar berbudi luhur, berbudi pakerti lebih baik lagi. Sehingga dalam program Pondok Ramadhan 1444 H yang dilaksanakan selama 3 hari, tepatnya tanggal 29, 30 dan 31 Maret 2023 diisi dengan banyak materi tentang penguatan karakter. Diantaranya tentang penguatan shalat wajib dan sunnah termasuk juga fiqih shalat. Modernisasi beragama, akhlaqul karimah, begitu juga tentang keluarga sakinah, cermin anak-anak sholeh dan sholihah. Untuk presesi pembukaan Pondok Ramadhan 1444 H oleh Waka Kurikulum Asnan Wahyudi, S.Pd didampingi Ketua Panitia Pelaksana Pondok Ramadhan Waka Kesiswaan Bambang Wahyudi, M.Pd pada (29/3/2023) pagi. Pemateri yang dihadirkan, selain dari luar juga dari guru sekolah, diantaranya Sri Wulandari, M.Pd, Muhammad Aziz, S.Pd.I, Karimullah, M.Pd.I, Habibi Iswada, M.Pd.I, Nur Hamida, S.Ag, M. Nafik, S.Ag. Kepala SMA Negeri 3 Sidoarjo, Dr Ristiwi Peni, M.Pd berharap dengan kegiatan Pondok Ramadhan sekarang ini dilakukan sangat sederhana, namun diharapkan memberikan manfaat yang lebih baik. Kita semua mentaati anjuran Presiden untuk hidup lebih sederhana, nantinya akan kami tutup dengan kegiatan penyerahan zakat fitrah. “Yang dikumpulkan dari guru, pegawai dan siswa, nantinya akan kami salurkan kepada para siswa yang membutuhkan, juga kepada warga yang kurang mampu sekitar sekolah,” harapnya. Ia katakan, kalau di SMAN 3 Sidoarjo selain Pondok Ramadhan ada rutinitas yang terprogram, yaitu 4J (pertama Jumat Bersih, kedua Jumat Sehat, ketiga Jumat Imtaq dan keempat Jumat Hijau). “Untuk Jumat Imtaq, siswa yang putra pada jam pagi berikan tausiyah di Masjid. Siangnya wajib melakukan jamaan Jumat. Sedangkan siswa putrinya melakukan Jumat Madani, yaitu tausiyah tentang keilmuan agama Islam,” jelasnya. “Selain itu, pembiasaan karakter religius juga sudah dilakukan setiap hari. Oleh karena itu, rutinitas-rutinitas yang bersifat wajib dan sunnah itu bisa menjadi habituasi, menjadi pembiasaan, jadi budaya untuk seluruh siswa kita,” harap Ristiwi Peni. Salah satu pemateri, Nur Hamidah sangat memberikan apresiasi kepada SMAN 3 Sidoarjo ini, karena penguatan karakter itu harus dilakukan sesering mungkin. Tidak bisa dilakukan hanya sekali. Misalnya shalat, untuk anak-anak remaja itu sangat berat, makanya perlu sekali pembiasaan. Kalau tidak dibiasakan sejak kecil akan sulit sekali melakukan. “Walaupun shalat itu cuma bebarapa menit, tapi sangat berat berat bagi anak-anak. Termasuk juga kedisiplinan mengerjakan shalat di awal waktu. Itu juga sangat sulit sekali, makanya perlu pembiasaan sejak kecik,” katanya.(mad)",Pendidikan
